Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2 (self-reported),Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area (ft²),Self-Reported Gross Floor Area (ft²),Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Propane Use (kBtu),District Steam Use (kBtu),District Hot Water Use (kBtu),District Chilled Water Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Annual Maximum Demand (kW),Annual Maximum Demand (MM/YYYY),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Water Use Intensity (All Water Sources) (gal/ft²),Water Required?,Generation Date,DOF Benchmarking Submission Status
1576,6224375,Operative Cakes,,,2055600062;2055600068,2055600062;2055600068,2087721;2080293,711-733 Brush Avenue,,10465,Not found,Not found,Bronx, Not found ,104407,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,104407,,,,,1973,1,100,Whole Building,Whole Building,68,84.6,,32,,7.1,,,773283,,,,,,,,,,2564587.1,751637.4,745273.8,,,284.8,57.4,227.4,116,1.11,Not found,4/10/2018,Not found
1583,2750743,Clove Lakes Nursing Home,,,5007140065;5007140001,5-00714-0065;5-00714-0001,5154742;5018077,25 Fanning Street,15 South Gannon Avenue,103145307,Not found,Not found,Staten Island, Not found ,206000,Senior Care Community,"Parking, Senior Care Community",Senior Care Community,206000,Parking,0,,,1968,2,100,Whole Building,Whole Building,56,202.8,235.9,71.2,81.8,21.1,0,,1670622.5,,,,,,,,349011.3,3490.1,12649852.9,3707459.4,4344559.4,570.4,Jan-17,1264,142.5,1121.5,0,0,Not found,4/11/2018,Not found
1586,2792593,BRP,,,3001400160;3001407501,3-00140-0160;3-00140-7501,3391417;3000259,333 Adams Street,"350 Jay Street,",11201,Not found,Not found,Brooklyn, Not found ,1367356,Mixed Use Property,"Data Center, Financial Office, Hotel, Office, Parking",Office,840568,Hotel,512000,Parking,339982,1996,2,100,Whole Building,Whole Building,,265.6,265.8,139.1,139.4,16.8,0.8,,3399215.8,,,,,,,,108518762,1085187.6,78258552.8,22936267.1,22936267.1,,,12954.6,6016.2,6938.4,9704.5,7.1,Not found,4/11/2018,Not found
1650,2750743,Clove Lakes Nursing Home,,,5007140065;5007140001,5-00714-0065;5-00714-0001,5154742;5018077,25 Fanning Street,15 South Gannon Avenue,103145307,Not found,Not found,Staten Island, Not found ,206000,Senior Care Community,"Parking, Senior Care Community",Senior Care Community,206000,Parking,0,,,1968,2,100,Whole Building,Whole Building,56,202.8,235.9,71.2,81.8,21.1,0,,1670622.5,,,,,,,,349011.3,3490.1,12649852.9,3707459.4,4344559.4,570.4,Jan-17,1264,142.5,1121.5,0,0,Not found,4/11/2018,Not found
1653,2792593,BRP,,,3001400160;3001407501,3-00140-0160;3-00140-7501,3391417;3000259,333 Adams Street,"350 Jay Street,",11201,Not found,Not found,Brooklyn, Not found ,1367356,Mixed Use Property,"Data Center, Financial Office, Hotel, Office, Parking",Office,840568,Hotel,512000,Parking,339982,1996,2,100,Whole Building,Whole Building,,265.6,265.8,139.1,139.4,16.8,0.8,,3399215.8,,,,,,,,108518762,1085187.6,78258552.8,22936267.1,22936267.1,,,12954.6,6016.2,6938.4,9704.5,7.1,Not found,4/11/2018,Not found
1671,3617119,New York Eye & Ear Infirmary,3617119,New York Eye & Ear Infirmary,1004550005;1004550001,1-00455-0005;1-00455-0001,1006511;1006510,310 East 14th St,,10003,Not found,Not found,Manhattan, Not found ,198896,Hospital (General Medical & Surgical),"Hospital (General Medical & Surgical), Other",Hospital (General Medical & Surgical),198896,Other,0,,,1893,2,100,Whole Building,Whole Building,21,550,551.4,314.4,313.9,28.2,0.8,,,,,,,26122805.1,,,17406751.7,158882.5,19010695.4,5571715.4,5600182.8,,,4344.5,924.6,3420,,,Not found,4/11/2018,Not found
1826,6289302,Ridgewood Assoc. Inc,6289302,Ridgewood Assoc. Inc,4023820020;4023760101,4-02382-0020;4-02376-0101,4055033;4432218;4432219;4432220,52-15 65th Place,,11378,Not found,Not found,Queens, Not found ,508354,Multifamily Housing,Multifamily Housing,Multifamily Housing,508354,,,,,1955,2,100,Whole Building,Whole Building,73,98.2,102.7,67.8,72.4,3.7,0.6,,,,,,,,,,27859406.4,303260.6,6589971.2,1931409.9,1900871.8,,,2064,1479.7,584.3,19267.7,37.9,Not found,4/12/2018,Not found
1837,6289285,Village View,6289285,Village View,1004300001;1004310001;1004320001,1-00430-0001;1-00431-0001;1-00432-0001,1005758;1005759;1077557;1077558;1077559;1077560;1077561;1801901;1811664;1811665;1811666;1811667;1811668;1811669;1811670;1811671;1811672;1811673;1811674,40 First Avenue,,10009,Not found,Not found,Manhattan, Not found ,1234851,Multifamily Housing,Multifamily Housing,Multifamily Housing,1234851,,,,,1962,3,100,Whole Building,Whole Building,39,140.2,146.2,99.2,105.3,5,0.9,,,,,,,,,,101294896.7,1089251,21255269,6229562.2,6179415.9,,,7264.7,5380.3,1884.5,73134.8,59.23,Not found,4/12/2018,Not found
2373,2750743,Clove Lakes Nursing Home,,,5007140065;5007140001,5-00714-0065;5-00714-0001,5154742;5018077,25 Fanning Street,15 South Gannon Avenue,103145307,Not found,Not found,Staten Island, Not found ,206000,Senior Care Community,"Parking, Senior Care Community",Senior Care Community,206000,Parking,0,,,1968,2,100,Whole Building,Whole Building,56,202.8,235.9,71.2,81.8,21.1,0,,1670622.5,,,,,,,,349011.3,3490.1,12649852.9,3707459.4,4344559.4,570.4,Jan-17,1264,142.5,1121.5,0,0,Not found,4/15/2018,Not found
2376,2792593,BRP,,,3001400160;3001407501,3-00140-0160;3-00140-7501,3391417;3000259,333 Adams Street,"350 Jay Street,",11201,Not found,Not found,Brooklyn, Not found ,1367356,Mixed Use Property,"Data Center, Financial Office, Hotel, Office, Parking",Office,840568,Hotel,512000,Parking,339982,1996,2,100,Whole Building,Whole Building,,270.2,272.3,136.7,137.5,17.9,0.8,,1052760.5,,,,,,,,102976678.4,1029766.8,82902676.7,24297381.8,24543610.5,,,12897.8,5547.7,7350.1,9704.5,7.1,Not found,4/15/2018,Not found
