Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2 (self-reported),Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area (ft²),Self-Reported Gross Floor Area (ft²),Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Propane Use (kBtu),District Steam Use (kBtu),District Hot Water Use (kBtu),District Chilled Water Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Annual Maximum Demand (kW),Annual Maximum Demand (MM/YYYY),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Water Use Intensity (All Water Sources) (gal/ft²),Water Required?,Generation Date,DOF Benchmarking Submission Status
14747,3128109,BUSHWICK/HYLAN,4473875,BUSHWICK/HYLAN CAMPUS,3031290001;3030980001,3031290001;3030980001,3338432;3338433;3338434;3338435;3338436;3338437;3338438;3338439;3071469,811 FLUSHING AVENUE,,11206,Not found,Not found,Brooklyn, Not found ,1552000,Multifamily Housing,Multifamily Housing,Multifamily Housing,1552000,,,,,1960,1,100,Whole Building,,90,101.4,109.4,96.6,104.2,,1,,0,,,,,,,,149880797.1,1617362.6,,,,,,7960.9,7960.9,0,,,Not found,7/26/2018,Not found
14748,2830956,BETANCES IV,4474076,BETANCES IV/BETANCES V CAMPUS,2022720005;2022720038;2022870135;2022910023;2022910050,2022720005;2022720038;2022870135;2022910023;2022910050,2000103;2000433;2000513;2090711;2091071;2091087;2093912;2093913,480 EAST 143RD STREET,,10454,Not found,Not found,Bronx, Not found ,335010,Multifamily Housing,Multifamily Housing,Multifamily Housing,335010,,,,,1973,1,100,Whole Building,,3,220.3,230.9,151.5,162.2,8.5,1.3,,0,,,,,,,,40952931.3,446420.6,9810703.6,2875352.4,2844625.3,,,3045,2175.2,869.8,,,Not found,7/26/2018,Not found
14749,3128111,DOUGLASS I/DOUGLASS II,4473906,DOUGLASS I/DOUGLASS II CAMPUS,1018360001;1018550001,1018360001;1018550001,1079365;1079375;1079388;1081297;1081298;1081299;1081300;1081301;1081302;1083820;1079336;1079347;1079350;1079356;1079408;1079419,825 COLUMBUS AVENUE,,10025,Not found,Not found,Manhattan, Not found ,2221782,Multifamily Housing,Multifamily Housing,Multifamily Housing,2221782,,,,,1965,1,100,Whole Building,,92,95.5,,91,,,,,529644,,,,,,,,201571023.4,,,,,,,10745.7,10745.7,0,,,Not found,7/26/2018,Not found
14750,4471596,BOULEVARD/LINDEN CAMPUS,4471596,BOULEVARD/LINDEN CAMPUS,3043550001;3043760001;3043770001;3043710001;3043750001;3043930001;3043970001;3043750050;3043760050,3043550001;3043760001;3043770001;3043710001;3043750001;3043930001;3043970001;3043750050;3043760050,3324162;3324274;3324275;3324276;3324277;3324278;3324279;3324280;3324285;3324286;3324287;3324288;3324289;3324290;3324292;3324293;3324294;3324295;3396477;3324015;3324016;3324017;3324018;3324019;3324020;3324021;3324022;3324281;3324282;3324283;3324284;3337061;3337062;3337065;3337066;3337067;3337068;3337069,785 SCHENCK AVENUE,,11207,Not found,Not found,Brooklyn, Not found ,3117306,Multifamily Housing,Multifamily Housing,Multifamily Housing,3117306,,,,,1951,40,100,Whole Building,,15,176.4,183.2,122,128.2,6.8,1,,7090854,,,,,,,,300840127.5,3198217.1,72291267.5,21187356,21292985.2,,,22914.6,16505.3,6409.3,,,Not found,7/26/2018,Not found
14751,2830957,BETANCES V,4474076,BETANCES IV/BETANCES V CAMPUS,2022720005;2022720038;2022910023,2022720005;2022720038;2022910023,2090712;2090713;2091070;2091085;2091092;2093909,521 EAST 146TH STREET,,10455,Not found,Not found,Bronx, Not found ,105890,Multifamily Housing,Multifamily Housing,Multifamily Housing,105890,,,,,1974,1,100,Whole Building,,15,190.5,,139.9,,6.2,,,,,,,,,,,12610575.9,,2206960.2,646823,656782.4,,,865.5,669.8,195.7,,,Not found,7/26/2018,Not found
14753,4474071,BETANCES II/BETANCES III CAMPUS,4474071,BETANCES II/BETANCES III CAMPUS,2022710001;2022710020;2022810010;2025680012;2022820057,2022710001;2022710020;2022810010;2025680012;2022820057,2091293;2000264;2091008;2118035;2000102;2091291;2091292;2091009;2090997;2090998,443 EAST 137TH STREET,,10454,Not found,Not found,Bronx, Not found ,326720,Multifamily Housing,Multifamily Housing,Multifamily Housing,326720,,,,,1973,9,100,Whole Building,,12,178,,113.8,,8.2,,,,,,,,,,,28045022.8,,9139704,2678693.7,2678693.7,,,2299.9,1489.6,810.3,,,Not found,7/26/2018,Not found
14754,2830971,BRONX RIVER ADDITION,4472913,BRONX RIVER/BRONX RIVER ADDITION CAMPUS,2038660031;2038680033,2038660031;2038680033,2027475;2027550,1350 MANOR AVENUE,,10472,Not found,Not found,Bronx, Not found ,126670,Multifamily Housing,Multifamily Housing,Multifamily Housing,126670,,,,,1966,1,100,Whole Building,,,75.6,76.1,27.8,28.1,6.5,0.1,,,,,,,,,,709161.6,7304.3,2810660.8,823757.5,827743.5,,,286.9,37.7,249.2,,,Not found,7/26/2018,Not found
14755,2830974,BROWNSVILLE,4473862,BROWNSVILLE/VAN DYKE I/VAN DYKE II/WOODSON CAMPUS,3035440001;3035610001,3035440001;3035610001,3325326;3326508;3326509;3326510;3326511;3326512;3326513;3326514;3326515;3326516;3326517;3326518;3326519;3326520;3326521;3326522;3326523;3326524;3326525;3326526;3326527;3326528;3326529;3326530;3326531;3334334;3344722,284 SUTTER AVENUE,,11212,Not found,Not found,Brooklyn, Not found ,1233950,Multifamily Housing,Multifamily Housing,Multifamily Housing,1233950,,,,,1948,1,100,Whole Building,,81,120.2,127.4,114.4,121.2,0,1.2,,8694,,,,,,,,141110372.7,1494877.2,61605.8,18055.6,18055.6,,,7501.2,7495.7,5.5,,,Not found,7/26/2018,Not found
14756,2830975,BROWNSVILLE/VAN DYKE I,4473862,BROWNSVILLE/VAN DYKE I/VAN DYKE II/WOODSON CAMPUS,3035440001;3035610001;3037600001;3037770001;3037940001,3035440001;3035610001;3037600001;3037770001;3037940001,3325326;3326508;3326509;3326510;3326511;3326512;3326513;3326514;3326515;3326516;3326517;3326518;3326519;3326520;3326521;3326522;3326523;3326524;3326525;3326526;3326527;3326528;3326529;3326530;3326531;3334334;3344722;3000000;3328024;3328025;3328026;3328027;3328028;3328029;3328030;3328031;3328032;3328040;3328041;3328042;3328043;3328044;3328045;3328046;3328127;3328129;3328130;3328131;3328132;3339378;3394294,284 SUTTER AVENUE,,11212,Not found,Not found,Brooklyn, Not found ,2809400,Multifamily Housing,Multifamily Housing,Multifamily Housing,2809400,,,,,1955,1,100,Whole Building,,100,75.7,75.8,24.1,24.1,7.1,,,,,,,,,,,,,67754862.1,19857811.8,19876969.4,,,6007.1,0,6007.1,,,Not found,7/26/2018,Not found
14757,2830986,CARVER,4473946,LEXINGTON/WASHINGTON/CARVER CAMPUS,1016050024;1016080023;1016100023,1016050024;1016080023;1016100023,1078838;1078839;1078840;1078841;1079192;1079193;1082312;1082313;1082314;1082315;1082659;1082660;1082661,65 EAST 99TH STREET,,10029,Not found,Not found,Manhattan, Not found ,1164050,Multifamily Housing,Multifamily Housing,Multifamily Housing,1164050,,,,,1958,1,100,Whole Building,,87,111.2,120.4,105.9,114.7,0,1.1,,2346,,,,,,,,123253071,1334885.4,2408.9,706,706,,,6547,6546.7,0.2,,,Not found,7/26/2018,Not found
14759,2830996,CLASON POINT GARDENS,4473882,CLASON POINT GARDENS/SOUNDVIEW CAMPUS,2035910001;2036330001,2035910001;2036330001,2092682;2092683;2092684;2092685;2092686;2092687;2092688;2092689;2092690;2092691;2092692;2092693;2092694;2092695;2092696;2092697;2092727;2092728;2092729;2092730;2092731;2092732;2092733;2092734;2092735;2092736;2092737;2092738;2092739;2092740;2092741;2092742;2092743;2092744;2092745;2092746;2092747;2095238;2095239;2095240;2095241;2095242;2095243;2095244;2095245;2095246,865 NOBLE AVENUE,,10473,Not found,Not found,Bronx, Not found ,349800,Multifamily Housing,Multifamily Housing,Multifamily Housing,349800,,,,,1941,1,100,Whole Building,,16,174.1,189.6,165.8,180.6,,1.8,,0,,,,,,,,58006353.1,631598.5,,,,,,3081,3081,0,,,Not found,7/26/2018,Not found
14760,2830997,CLASON POINT GARDENS/SOUNDVIEW,4473882,CLASON POINT GARDENS/SOUNDVIEW CAMPUS,2035910001;2036330001;2035150001;2035510001,2035910001;2036330001;2035150001;2035510001,2092682;2092683;2092684;2092685;2092686;2092687;2092688;2092689;2092690;2092691;2092692;2092693;2092694;2092695;2092696;2092697;2092727;2092728;2092729;2092730;2092731;2092732;2092733;2092734;2092735;2092736;2092737;2092738;2092739;2092740;2092741;2092742;2092743;2092744;2092745;2092746;2092747;2095238;2095239;2095240;2095241;2095242;2095243;2095244;2095245;2095246;2092604;2092605;2092608;2092610;2092611;2092638;2092647;2092649;2092651;2092652;2092654;2092656;2092659;2112985;2112986,865 NOBLE AVENUE,,10473,Not found,Not found,Bronx, Not found ,1538500,Multifamily Housing,Multifamily Housing,Multifamily Housing,1538500,,,,,1954,1,100,Whole Building,,97,91.5,,31.9,,8,,,,,,,,,,,6369466.2,,42692711.4,12512516.5,12340471.3,,,4123.4,338.3,3785.1,,,Not found,7/26/2018,Not found
14761,2831012,DOUGLASS I,4473906,DOUGLASS I/DOUGLASS II CAMPUS,1018360001;1018550001,1018360001;1018550001,1079365;1079375;1079388;1081297;1081298;1081299;1081300;1081301;1081302;1083820,825 COLUMBUS AVENUE,,10025,Not found,Not found,Manhattan, Not found ,1393098,Multifamily Housing,Multifamily Housing,Multifamily Housing,1393098,,,,,1965,1,100,Whole Building,,90,98.6,99.4,31.4,31.7,9.3,,,,,,,,,,,,,43759786.9,12825258.4,12926465.1,,,3879.7,0,3879.7,,,Not found,7/26/2018,Not found
14762,3128084,ALBANY/ALBANY II,4472723,ALBANY/ALBANY II CAMPUS,3013520080;3013520001,3013520080;3013520001,3324612;3324613;3324614;3324615;3324616;3324617;3324609;3324610;3324611,180 TROY AVENUE,,11213,Not found,Not found,Brooklyn, Not found ,1128400,Multifamily Housing,Multifamily Housing,Multifamily Housing,1128400,,,,,1957,1,100,Whole Building,Whole Building,50,149.3,154,96.3,101.2,6.7,0.8,,0,,,,,,,,82675158.4,884200.3,25988902.2,7616910.6,7556897.9,,,6695.4,4391.3,2304.2,,,Not found,7/26/2018,Not found
14763,3128087,BOULEVARD/LINDEN,4471596,BOULEVARD/LINDEN CAMPUS,3043550001;3043760001;3043770001;3043710001;3043750001;3043930001;3043970001;3043750050;3043760050,3043550001;3043760001;3043770001;3043710001;3043750001;3043930001;3043970001;3043750050;3043760050,3324162;3324274;3324275;3324276;3324277;3324278;3324279;3324280;3324285;3324286;3324287;3324288;3324289;3324290;3324292;3324293;3324294;3324295;3396477;3324015;3324016;3324017;3324018;3324019;3324020;3324021;3324022;3324281;3324282;3324283;3324284;3337061;3337062;3337065;3337066;3337067;3337068;3337069,785 SCHENCK AVENUE,,11207,Not found,Not found,Brooklyn, Not found ,3117306,Multifamily Housing,Multifamily Housing,Multifamily Housing,3117306,,,,,1951,1,100,Whole Building,,99,72.8,73.2,23.2,23.3,6.8,,,,,,,,,,,,,72288817.7,21186638,21292264.5,,,6409.1,0,6409.1,,,Not found,7/26/2018,Not found
14764,3128108,BRONX RIVER/BRONX RIVER ADDITION,4472913,BRONX RIVER/BRONX RIVER ADDITION CAMPUS,2038860002;2038660031;2038680033,2038860002;2038660031;2038680033,2092902;2092903;2092904;2092905;2092906;2092907;2092908;2092909;2092911;2098986;2027475;2027550,1455 HARROD AVENUE,,10472,Not found,Not found,Bronx, Not found ,1371120,Multifamily Housing,Multifamily Housing,Multifamily Housing,1371120,,,,,1966,1,100,Whole Building,,93,99.4,107.7,94.8,102.7,,1,,3714407.2,,,,,,,,126286127.6,1370892.8,,,,,,6983.3,6983.3,0,,,Not found,7/26/2018,Not found
14765,4472723,ALBANY/ALBANY II CAMPUS,4472723,ALBANY/ALBANY II CAMPUS,3013520080;3013520001,3013520080;3013520001,3324612;3324613;3324614;3324615;3324616;3324617;3324609;3324610;3324611,180 TROY AVENUE,,11213,Not found,Not found,Brooklyn, Not found ,1128400,Multifamily Housing,Multifamily Housing,Multifamily Housing,1128400,,,,,1957,9,100,Whole Building,Whole Building,50,149.3,154,96.3,101.2,6.7,0.8,,0,,,,,,,,82675158.4,884200.3,25988902.2,7616910.6,7556897.9,,,6695.4,4391.3,2304.2,,,Not found,7/26/2018,Not found
14766,4472913,BRONX RIVER/BRONX RIVER ADDITION CAMPUS,4472913,BRONX RIVER/BRONX RIVER ADDITION CAMPUS,2038860002;2038660031;2038680033,2038860002;2038660031;2038680033,2092902;2092903;2092904;2092905;2092906;2092907;2092908;2092909;2092911;2098986;2027475;2027550,1455 HARROD AVENUE,,10472,Not found,Not found,Bronx, Not found ,1371120,Multifamily Housing,Multifamily Housing,Multifamily Housing,1371120,,,,,1966,12,100,Whole Building,Whole Building,18,182.9,,125.9,,7.2,,,3714407.2,,,,,,,,135654438,,33316091.3,9764386.7,9806875.6,,,10434.7,7480.9,2953.8,,,Not found,7/26/2018,Not found
14767,4473862,BROWNSVILLE/VAN DYKE I/VAN DYKE II/WOODSON CAMPUS,4473862,BROWNSVILLE/VAN DYKE I/VAN DYKE II/WOODSON CAMPUS,3035440001;3035610001;3037600001;3037770001;3037940001;3037800001;3037970001,3035440001;3035610001;3037600001;3037770001;3037940001;3037800001;3037970001,3325326;3326508;3326509;3326510;3326511;3326512;3326513;3326514;3326515;3326516;3326517;3326518;3326519;3326520;3326521;3326522;3326523;3326524;3326525;3326526;3326527;3326528;3326529;3326530;3326531;3334334;3344722;3000000;3328024;3328025;3328026;3328027;3328028;3328029;3328030;3328031;3328032;3328040;3328041;3328042;3328043;3328044;3328045;3328046;3328127;3328129;3328130;3328131;3328132;3339378;3394294;3328126;3084418;3328133,284 SUTTER AVENUE,,11212,Not found,Not found,Brooklyn, Not found ,3227500,Multifamily Housing,Multifamily Housing,Multifamily Housing,3227500,,,,,1948,53,100,Whole Building,,10,196.6,203.3,141.4,147.8,6.7,1.2,,8694,,,,,,,,382120654.9,4027428.2,74296406.1,21775028.5,21782035.2,,,26884,20296.9,6587.1,,,Not found,7/26/2018,Not found
14768,4473875,BUSHWICK/HYLAN CAMPUS,4473875,BUSHWICK/HYLAN CAMPUS,3031290001;3030980001,3031290001;3030980001,3338432;3338433;3338434;3338435;3338436;3338437;3338438;3338439;3071469,811 FLUSHING AVENUE,,11206,Not found,Not found,Brooklyn, Not found ,1552000,Multifamily Housing,Multifamily Housing,Multifamily Housing,1552000,,,,,1960,9,100,Whole Building,Whole Building,18,177.6,185.8,123.8,131.6,6.7,1.1,,0,,,,,,,,156878566.3,1688154.7,35301544.2,10346289.5,10366924.2,,,11462.4,8332.6,3129.8,,,Not found,7/26/2018,Not found
14769,4473882,CLASON POINT GARDENS/SOUNDVIEW CAMPUS,4473882,CLASON POINT GARDENS/SOUNDVIEW CAMPUS,2035910001;2036330001;2035150001;2035510001,2035910001;2036330001;2035150001;2035510001,2092682;2092683;2092684;2092685;2092686;2092687;2092688;2092689;2092690;2092691;2092692;2092693;2092694;2092695;2092696;2092697;2092727;2092728;2092729;2092730;2092731;2092732;2092733;2092734;2092735;2092736;2092737;2092738;2092739;2092740;2092741;2092742;2092743;2092744;2092745;2092746;2092747;2095238;2095239;2095240;2095241;2095242;2095243;2095244;2095245;2095246;2092604;2092605;2092608;2092610;2092611;2092638;2092647;2092649;2092651;2092652;2092654;2092656;2092659;2112985;2112986,865 NOBLE AVENUE,,10473,Not found,Not found,Bronx, Not found ,1538500,Multifamily Housing,Multifamily Housing,Multifamily Housing,1538500,,,,,1941,61,100,Whole Building,,3,237.4,,172,,8,,,46126498.6,,,,,,,,175825293.7,,42692711.4,12512516.5,12340471.3,,,16547,12761.9,3785.1,,,Not found,7/26/2018,Not found
14770,4473906,DOUGLASS I/DOUGLASS II CAMPUS,4473906,DOUGLASS I/DOUGLASS II CAMPUS,1018360001;1018550001,1018360001;1018550001,1079365;1079375;1079388;1081297;1081298;1081299;1081300;1081301;1081302;1083820;1079336;1079347;1079350;1079356;1079408;1079419,825 COLUMBUS AVENUE,,10025,Not found,Not found,Manhattan, Not found ,2221782,Multifamily Housing,Multifamily Housing,Multifamily Housing,2221782,,,,,1965,17,100,Whole Building,,31,157.3,,110.7,,5.8,,,529644,,,,,,,,201571023.4,,43759786.9,12825258.4,12926465.1,,,14625.4,10745.7,3879.7,,,Not found,7/26/2018,Not found
14771,4474076,BETANCES IV/BETANCES V CAMPUS,4474076,BETANCES IV/BETANCES V CAMPUS,2022720005;2022720038;2022870135;2022910023;2022910050,2022720005;2022720038;2022870135;2022910023;2022910050,2000103;2000433;2000513;2090711;2091071;2091087;2093912;2093913;2090712;2090713;2091070;2091085;2091092;2093909,480 EAST 143RD STREET,,10454,Not found,Not found,Bronx, Not found ,440900,Multifamily Housing,Multifamily Housing,Multifamily Housing,440900,,,,,1973,14,100,Whole Building,,4,213.1,,148.7,,8,,,0,,,,,,,,53563507.2,,12017663.8,3522175.3,3505663.3,,,3910.5,2845,1065.5,,,Not found,7/26/2018,Not found
14848,6417087,WAGNER COLLEGE CAMPUS,6417087,WAGNER COLLEGE CAMPUS,"5,006,200,001,500,620,000,000,000,000,000,000,000,000","5-00620-0001, 5-00620-0100, 5-00620-0200, 5-00620-0300","5113153,5113454,5113455,5113456,5113457,5113458,5113459,5113460,5113461,5113462,5113463,5113464,5113465,5113466,5113467,5113468,5113469,5113470,5147163,5154662,5154663,5154664,5154665,5154666,5154667,5154668,5154670,5154671,5154672,5154673,5154674,5154675,5154676,5154696,5154697,5154698,5158745,5015989,5015990,5106906,5143133,5154699",631 Campus Road,,10301,Not found,Not found,Staten Island, Not found ,814871,College/University,College/University,College/University,814871,,,,,1967,42,95,Whole Building,Whole Building,,143.3,148.8,120.4,125.6,2.4,1.1,,8952863.7,,,,,,,,82350587.5,856442.6,6783286.3,1988067.2,1990096,293.2,Aug-17,5639.8,5038.4,601.4,20784.7,25.51,Not found,7/27/2018,Not found
15288,2665924,Stonehenge - 135 West 96th Street,,,1018510008;1018517501,1-01851-0008;1-01851-7501,1085589;1079453;1079308,135 West 96th Street,120-160 West 97th Street,10025,Not found,Not found,Manhattan, Not found ,479722,Multifamily Housing,"Multifamily Housing, Office, Parking, Retail Store",Multifamily Housing,447224,Parking,54000,Office,19972,1968,1,100,Whole Building,,68,124.1,130.5,81,87.6,5.4,0.7,,414138,,,,,,,,29496107.6,327934.2,8963315.3,2626997.1,2590279.4,,,2392.1,1597.4,794.7,10431.6,21.75,Not found,8/20/2018,Not found
15296,4621910,131 - 137 Spring Street,,,1005000036;1005000038,1005000036; 1005000038,1007654; 1007655,131-137 Spring Street,,10012,Not found,Not found,Manhattan, Not found ,73378,Mixed Use Property,"Multifamily Housing, Office, Retail Store",Office,34659,Retail Store,22017,Multifamily Housing,16702,1891,1,100,Whole Building,Common areas (all energy loads),,220.1,220.1,83.5,83.5,18.7,0,,1449248.3,,,,,,,,2506.7,25.1,4677014.2,1370754.3,1370754.3,,,522.3,107.7,414.7,855.5,11.66,Not found,8/20/2018,Not found
15385,6437848,Amalgamated Housing Corporation,6437848,Amalgamated Housing Corporation,2032520052;2032520143;2032520209;2032520340;2032520361;2032520237;2032520135;2032520117;2032520276;2032520287,2032520052; 2032520143; 2032520209; 2032520340; 2032520361; 2032520237; 2032520135; 2032520117; 2032520276; 2032520287,2095200; 2092446; 2109447; 2109448; 2015455; 2015473; 2015493; 2015496; 2092448; 2092449; 2120711; 2092447; 2015454; 2015450; 2015481; 2015482,"Tower I-II, Building 6,7,8,9,10,11,12,13,14",,10463,Not found,Not found,Bronx, Not found ,1724302,Multifamily Housing,Multifamily Housing,Multifamily Housing,1724302,,,,,1928,13,100,Whole Building,Whole Building,43,130.5,135.4,93.9,98.6,4.5,0.8,,,6717606.3,,,,,,,128653167.3,1368022.5,26477241.6,7760034.7,7757591.2,,,9686.6,7339.2,2347.5,,,Not found,8/23/2018,Not found
15386,6437644,"Park Reservoir Housing Corporation (Building 2,3,4)",6437644,"Park Reservoir Housing Corporation (Building 2,3,4)",2032630235;2032630067,2032630235; 2032630067,2092475; 2092476; 2016020,3835-3845 Sedgwick Avenue; 3915 Orloff Avenue,,10463,Not found,Not found,Bronx, Not found ,285350,Multifamily Housing,Multifamily Housing,Multifamily Housing,285350,,,,,1957,3,100,Whole Building,Whole Building,45,142.9,150.3,103.8,111.1,4.7,1,,,,,,,,,,24997256.2,271096.2,4628377.9,1356499.8,1345959.5,,,1738.1,1327.7,410.3,7439,26.07,Not found,8/23/2018,Not found
15802,6490433,1687-1693 Vyse Ave Campus,6490433,1687-1693 Vyse Ave Campus,2029900037;2029900034,2-02990-0037; 2-02990-0034,2010678;2010679,1687-1693 Vyse Ave,,10460,Not found,Not found,Bronx, Not found ,52492,Multifamily Housing,Multifamily Housing,Multifamily Housing,52492,,,,,1925,2,100,Whole Building,Whole Building,54,118.9,123.5,83.1,87.8,5.2,0.7,,,,,,,,,,3416143.7,36692.8,947541.9,277708.6,275433.5,,,261.7,181.4,80.2,6249.2,119.05,Not found,9/10/2018,Not found
16543,2777235,STATEN ISLAND UNIVERSITY HOSPITAL Seaview,2777235,STATEN ISLAND UNIVERSITY HOSPITAL Seaview,5033550032;5033550065,5033550032;5-03355-0065,5049717;5104756,475 SEAVIEW AVE,,10305,Not found,Not found,Staten Island, Not found ,567517,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),567517,,,,,1950,2,100,Whole Building,Whole Building,83,573.1,,358.9,,32.9,2.3,,3168217.9,,,,,,,,136809328.1,1330256.7,63708580.1,18671914.5,18671914.5,,,12897.2,7501.7,5395.5,9316.6,16.42,Not found,10/11/2018,Not found
16833,6258027,St. Nicholas Greek Orthodox Church,,,4055200001;4055200047;4055200050,4-05520-0001:4-05520-0047:4-05520-0050,4124560;4121243;4121243,196-10 Northern Blvd,,11358,Not found,Not found,Queens, Not found ,80000,Worship Facility,"K-12 School, Parking, Worship Facility",K-12 School,75000,Worship Facility,20000,Parking,0,2007,2,95,Whole Building,,70,88.3,,52.1,,,,,,,,,,,,,3117300,,1827467,535599.9,,,,320.3,165.6,154.8,,,Not found,10/16/2018,Not found
16834,4621910,131 - 137 Spring Street,,,1005000036;1005000038,1-00500-0036; 1-00500-0038,1007654; 1007655,131-137 Spring Street,,10012,Not found,Not found,Manhattan, Not found ,73378,Mixed Use Property,"Multifamily Housing, Office, Retail Store",Office,34659,Retail Store,22017,Multifamily Housing,16702,1891,1,100,Whole Building,Common areas (all energy loads),,198.5,198.5,83.5,83.5,18.7,0,,1449248.3,,,,,,,,2506.7,25.1,4677014.2,1370754.3,1370754.3,,,503.8,107.7,396.1,855.5,11.66,Not found,10/16/2018,Not found
16871,2771702,Twin Properties LLC 2,2771702,Twin Properties LLC 2,3012500053;3012500060,3012500053:3012500060,3032047:3032046 ,1045 St Johns Pl,,11213,Not found,Not found,Brooklyn, Not found ,153202,Multifamily Housing,Multifamily Housing,Multifamily Housing,153202,,,,,1910,2,100,Whole Building,Whole Building,65,84.8,92.3,67.2,73.4,2.6,0.6,,,,,,,,,,9056099.7,99111.9,1242471.1,364147.4,391017.2,,,586.2,481,105.2,,,Not found,10/17/2018,Not found
16872,2771702,Twin Properties LLC 2,2771702,Twin Properties LLC 2,3012500053;3012500060,3012500053:3012500060,3032047:3032046 ,1045 St Johns Pl,,11213,Not found,Not found,Brooklyn, Not found ,153202,Multifamily Housing,Multifamily Housing,Multifamily Housing,153202,,,,,1910,2,100,Whole Building,Whole Building,65,84.8,92.3,67.2,73.4,2.6,0.6,,,,,,,,,,9056099.7,99111.9,1242471.1,364147.4,391017.2,,,586.2,481,105.2,595.5,3.89,Not found,10/17/2018,Not found
17152,6571989,City Point,,,3001497501;3001490001,3001497501;3001490001,3396776;3397861;3396962,10 City Point,,11201,Not found,Not found,Brooklyn, Not found ,1220000,Mixed Use Property,"Multifamily Housing, Retail Store",Retail Store,660000,Multifamily Housing,560000,,,2015,1,100,Whole Building,,,112.5,114.5,48.2,50.1,10.4,0.1,,,,,,,,,,15619099.3,180307.7,43142427,12644320.6,12644320.6,,,4483.3,829.6,3653.7,,,Not found,10/23/2018,Not found
17181,6538625,Campus - 32-36 47th Avenue and 32-27 48th Avenue,6538625,Campus - 32-36 47th Avenue and 32-27 48th Avenue,4002520001;4002520018,4002520001; 4002520018,4003446; 4003447,32-36 47th Avenue ,,11101,Not found,Not found,Queens, Not found ,390400,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,390400,,,,,1922,2,100,Whole Building,,,121.2,121.4,53.6,54.6,10.8,0.1,,4266546.3,,,,,,,,2072200,20931.4,14585108.6,4274650.3,4227013.7,,,1661.9,426.7,1235.2,,,Not found,10/24/2018,Not found
17215,6224693,HHH REALTY CORP.,6224693,HHH REALTY CORP.,2028870094;2028870088,2028870094:202870088,2009298:2009297,1420-36 CLAY AVENUE,,10456,Not found,Not found,Bronx, Not found ,125923,Multifamily Housing,Multifamily Housing,Multifamily Housing,125923,,,,,1931,2,100,Whole Building,,99,50.1,50.9,28.2,29.1,3.4,0.2,,,,,,,,,,2081051.6,21921,1474599.6,432180.4,430281.6,,,235.4,110.5,124.9,,,Not found,10/25/2018,Not found
17322,6264462,1800 & 1818 Ave. L,6264462,1800 & 1818 Ave. L,3067380001;3067380007,3067380001;3067380007,3180696;3180697,1800 Avenue L,,11230,Not found,Not found,Brooklyn, Not found ,105300,Multifamily Housing,Multifamily Housing,Multifamily Housing,105300,,,,,1948,2,100,Whole Building,,56,93.8,98.6,74,78.6,2.7,0.7,,,,,,,,,,6830838.5,73069,966546.2,283278.5,283629.8,,,444.7,362.8,81.9,,,Not found,10/27/2018,Not found
17328,6431192,Campus 120-125 Riverside Drive,6431192,Campus 120-125 Riverside Drive,1012460007;1012400000,"10,124,600,071,012,400,000","1033838, 1033839",120 Riverside Drive,,10024,Not found,Not found,Manhattan, Not found ,110238,Multifamily Housing,Multifamily Housing,Multifamily Housing,110238,,,,,1907,2,100,Whole Building,Whole Building,56,131.6,,95.8,,5.2,,,249090,,,,,,,,8348973.2,,1959402.5,574268,568794.6,,,627.9,461.9,165.9,1588.1,14.41,Not found,10/29/2018,Not found
